# Format is:
# name, path, locationX, locationY, locationZ, scale, rotationX, rotationY, rotationZ, rotationW

# Objewwwcts
"DMC Bridge", "objects/bridge/bridge", 43.5f, 6.5f, 71.2f, 0.40f, 0f, 0.43f, 0f, 0.9260f
"Lamppost 24", "objects/lamppost/lamppost",57.6f,10f,148.4f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 25", "objects/lamppost/lamppost",59.5f,10f,158.4f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 26", "objects/lamppost/lamppost",61.5f,10f,169.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 27", "objects/lamppost/lamppost",63.5f,10f,177.8f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 28", "objects/lamppost/lamppost",65.5f,10f,189.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 29", "objects/lamppost_w_banner/lamppost_w_banner",-44.3f,9.1f,114.8f,0.12f,0.0000f,-0.1680f,0.0000f,0.9858f
"Lamppost 30", "objects/lamppost_w_banner/lamppost_w_banner",-47.1f,9.1f,122.6f,0.12f,0.0000f,-0.1680f,0.0000f,0.9858f
"Lamppost 31", "objects/lamppost_w_banner/lamppost_w_banner",-42.7f,9.1f,130.4f,0.12f,0.0000f,0.5028f,0.0000f,0.8644f
"Lamppost 32", "objects/lamppost_w_banner/lamppost_w_banner",-35.5f,9.1f,134.2f,0.12f,0.0000f,0.5028f,0.0000f,0.8644f
"Lamppost 33", "objects/lamppost_w_banner/lamppost_w_banner",-28.5f,9.1f,138.0f,0.12f,0.0000f,0.5028f,0.0000f,0.8644f
"Lamppost 34", "objects/lamppost_w_banner/lamppost_w_banner",-17.1f,8.7f,144.0f,0.12f,0.0000f,0.5028f,0.0000f,0.8644f
"Lamppost 35", "objects/lamppost_w_banner/lamppost_w_banner",-10.3f,8.7f,147.6f,0.12f,0.0000f,0.5028f,0.0000f,0.8644f
"Lamppost 36", "objects/lamppost_w_banner/lamppost_w_banner",-3.3f,9.1f,151.2f,0.12f,0.0000f,0.4695f,0.0000f,0.8829f

# Bike Stuff
"Bike Rack 1", "objects/bicycles/bikerack/bikerack",10.6f,8.45f,163.4f,0.19f,0.0000f,0.0911f,0.0000f,0.9958f
"Bike Rack 2", "objects/bicycles/bikerack/bikerack",12.8f,8.45f,163.0f,0.19f,0.0000f,0.0911f,0.0000f,0.9958f
"Silver Bike 1", "objects/bicycles/bike_silver/bike_silver",13.5f,8.7f,162.6f,0.13f,0.0000f,0.0707f,0.0000f,0.9975f
"Green Bike 1", "objects/bicycles/bike_green/bike_green",12.8f,8.7f,162.8f,0.13f,0.0000f,0.0707f,0.0000f,0.9975f
"Blue Bike 1", "objects/bicycles/bike_blue/bike_blue",11.5f,8.7f,163.0f,0.13f,0.0000f,0.0707f,0.0000f,0.9975f
"Red Bike 1", "objects/bicycles/bike_red/bike_red",10.5f,8.7f,163.2f,0.13f,0.0000f,0.0707f,0.0000f,0.9975f
"Bike Rack 3", "objects/bicycles/bikerack/bikerack",-52.949947f,9.6f,72.150024f,0.19f,0.0f,0.75544006f,0.0f,0.6552179f
"Bike Rack 4", "objects/bicycles/bikerack/bikerack",-53.49994f,9.6f,70.1499f,0.19f,0.0f,0.75544006f,0.0f,0.6552179f
"Silver Bike 2", "objects/bicycles/bike_silver/bike_silver",-53.049946f,9.80001f,69.44986f,0.13f,0.0f,-0.60267645f,0.0f,0.7979857f
"Green Bike 2", "objects/bicycles/bike_green/bike_green",-53.049946f,9.800001f,70.1499f,0.13f,0.0f,-0.60267645f,0.0f,0.7979857f
"Blue Bike 2", "objects/bicycles/bike_blue/bike_blue",-52.549953f,9.80001f,71.649994f,0.13f,0.0f,-0.60267645f,0.0f,0.7979857f
"Red Bike 2", "objects/bicycles/bike_red/bike_red",-52.299957f,9.800001f,72.500046f,0.13f,0.0f,-0.60267645f,0.0f,0.7979857f

# Vehicles
"Car 1", "vehicles/car_red/car",93.00098f,8.8,121.599915f,0.3f,0.0f,0.081282794f,0.0f,0.99669105f
"Car 2", "vehicles/car_yellow/car",95.35112f,8.8,121.14989f,0.3f,0.0f,0.081282794f,0.0f,0.99669105f
"Car 3", "vehicles/car_silver/car",97.75127f,8.8,120.59985f,0.3f,0.0f,0.081282794f,0.0f,0.99669105f
"Car 4", "vehicles/car_blue/car",90.90085f,8.8,121.99994f,0.3f,0.0f,0.081282794f,0.0f,0.99669105f
"Car 5", "vehicles/car_red/car",84.50046f,9.6f,90.74803f,0.3f,0.0f,-0.6406502f,0.0f,0.7678329f
"Car 6", "vehicles/car_silver/car",84.800476f,9.8f,92.74815f,0.3f,0.0f,-0.6406502f,0.0f,0.7678329f
"Car 7", "vehicles/car_blue/car",85.2505f,9.8f,94.748276f,0.3f,0.0f,0.758697f,0.0f,0.65144366f
"Car 8", "vehicles/car_yellow/car",77.900055f,9.6f,96.29837f,0.3f,0.0f,-0.6325408f,0.0f,0.774527f
"Car 9", "vehicles/car_red/car",77.45003f,9.6f,94.64827f,0.3f,0.0f,0.7657362f,0.0f,0.64315486f
"Car 10", "vehicles/car_silver/car",77.20001f,9.5f,92.598145f,0.3f,0.0f,-0.6322133f,0.0f,0.77479434f
"Car 11", "vehicles/car_blue/car",68.64949f,7.7f,85.84773f,0.3f,0.0f,-0.6322133f,0.0f,0.77479434f
"Car 12", "vehicles/car_yellow/car",69.29953f,8.1f,90.147995f,0.3f,0.0f,-0.6322133f,0.0f,0.77479434f
"Car 13", "vehicles/car_blue/car",69.64955f,8.1f,91.8481f,0.3f,0.0f,-0.6322133f,0.0f,0.77479434f
"Car 14", "vehicles/car_red/car",70.14958f,8.4f,93.248184f,0.3f,0.0f,-0.6322133f,0.0f,0.77479434f
"Car 15", "vehicles/car_silver/car",70.54961f,8.6f,94.84828f,0.3f,0.0f,0.7660074f,0.0f,0.6428317f
"Car 16", "vehicles/car_silver/car",70.4996f,8.7f,96.198364f,0.3f,0.0f,-0.6319599f,0.0f,0.7750011f
"Car 17", "vehicles/car_red/car",71.64967f,9.4f,101.89871f,0.3f,0.0f,-0.6319599f,0.0f,0.7750011f
"Van 1", "vehicles/van_yellow/van",15.000017f,8.6f,152.54933f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Car 18", "vehicles/car_blue/car",15.500019f,8.6f,154.59946f,0.3f,0.0f,-0.6069951f,0.0f,0.7947055f
"Car 19", "vehicles/car_yellow/car",16.10002f,8.6f,156.9996f,0.3f,0.0f,-0.6069951f,0.0f,0.7947055f
"Car 20", "vehicles/car_silver/car",14.450015f,8.25f,150.99924f,0.3f,0.0f,-0.6069951f,0.0f,0.7947055f
"Car 21", "vehicles/car_blue/car",22.249926f,8.6f,150.99924f,0.3f,0.0f,0.77807915f,0.0f,0.6281663f
"Car 22", "vehicles/car_red/car",22.899916f,8.65f,153.44939f,0.3f,0.0f,0.77807915f,0.0f,0.6281663f
"Van 2", "vehicles/van_silver/van",23.399908f,8.75f,155.09949f,0.3f,0.0f,0.77807915f,0.0f,0.6281663f
"Car 23", "vehicles/car_silver/car",24.59989f,8.65f,160.84984f,0.3f,0.0f,0.77807915f,0.0f,0.6281663f
"Van 3", "vehicles/van_blue/van",25.149881f,8.8f,164.40005f,0.3f,0.0f,0.77807915f,0.0f,0.6281663f
"Car 24", "vehicles/car_yellow/car",25.749872f,8.6f,166.45018f,0.3f,0.0f,0.77807915f,0.0f,0.6281663f
"Car 25", "vehicles/car_silver/car",14.250014f,8.65f,200.20224f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Car 26", "vehicles/car_blue/car",15.000017f,8.65f,202.60239f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Van 3", "vehicles/van_silver/van",15.70002f,8.7f,205.40256f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Car 27", "vehicles/car_silver/car",16.350016f,8.6f,208.70276f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Car 28", "vehicles/car_yellow/car",8.249991f,8.6f,211.1029f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Van 4", "vehicles/van_yellow/van",6.849986f,8.7f,208.30273f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Van 5", "vehicles/car_red/car",6.599985f,8.7f,206.65263f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Van 6", "vehicles/van_red/van",5.799982f,8.7f,204.5525f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Car 29", "vehicles/car_blue/car",5.3499804f,8.6f,201.90234f,0.3f,0.0f,0.78401124f,0.0f,0.62074673f
"Van 7", "vehicles/van_silver/van",8.149991f,8.7f,201.00229f,0.3f,0.0f,-0.6082859f,0.0f,0.793718f
"Car 30", "vehicles/car_silver/car",8.7999935f,8.6f,203.20242f,0.3f,0.0f,-0.6082859f,0.0f,0.793718f
"Car 31", "vehicles/car_silver/car",10.049998f,8.6f,208.80276f,0.3f,0.0f,-0.6082859f,0.0f,0.793718f
"Car 32", "vehicles/car_yellow/car",-25.199455f,7.40f,55.59943f,0.3f,0.0f,-0.66401756f,0.0f,0.747717f
"Car 33", "vehicles/car_red/car",-24.699463f,7.40f,59.849365f,0.3f,0.0f,-0.66401756f,0.0f,0.747717f
"Van 8", "vehicles/van_yellow/van",-24.499466f,7.50f,62.999317f,0.3f,0.0f,-0.66401756f,0.0f,0.747717f
"Car 34", "vehicles/car_blue/car",-23.499481f,7.40f,72.84984f,0.3f,0.0f,-0.66401756f,0.0f,0.747717f
"Car 35", "vehicles/car_silver/car",-23.499481f,7.40f,75.14998f,0.3f,0.0f,-0.66401756f,0.0f,0.747717f
"Car 36", "vehicles/car_yellow/car",-17.04958f,7.40f,71.74977f,0.3f,0.0f,0.74199444f,0.0f,0.67040604f
"Van 9", "vehicles/van_blue/van",-17.04958f,7.50f,70.04967f,0.3f,0.0f,0.74199444f,0.0f,0.67040604f
"Car 37", "vehicles/car_red/car",-17.04958f,7.40f,68.699585f,0.3f,0.0f,0.74199444f,0.0f,0.67040604f
"Car 38", "vehicles/car_silver/car",-17.04958f,7.40f,67.14949f,0.3f,0.0f,0.74199444f,0.0f,0.67040604f
"Car 39", "vehicles/car_blue/car",-54.44901f,12.2f,55.199436f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Car 40", "vehicles/car_silver/car",-56.198982f,12.2f,55.199436f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Car 41", "vehicles/car_red/car",-57.348965f,12.2f,55.749428f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Car 42", "vehicles/car_silver/car",-59.798927f,12.2f,55.949425f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Van 10", "vehicles/van_blue/van",-62.748882f,12.2f,56.19942f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Car 43", "vehicles/car_blue/car",-65.59896f,12.2f,56.19942f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Car 44", "vehicles/car_yellow/car",-69.39919f,12.2f,56.399418f,0.3f,0.0f,0.9995413f,0.0f,-0.030285282f
"Car 45", "vehicles/car_silver/car",-69.39919f,12.2f,52.199482f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Car 46", "vehicles/car_red/car",-67.44907f,12.2f,51.59949f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Car 47", "vehicles/car_blue/car",-64.39889f,12.2f,51.449493f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Van 11", "vehicles/van_red/van",-61.19891f,12.2,51.449493f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Car 48", "vehicles/car_silver/car",-59.048943f,12.2f,50.44951f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Car 49", "vehicles/car_yellow/car",-56.198986f,12.2f,50.44951f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Car 50", "vehicles/car_blue/car",-53.799023f,12.2f,50.44951f,0.3f,0.0f,0.007805344f,0.0f,0.99996954f
"Van 12", "vehicles/van_yellow/van",-53.799023f,12.2f,43.69961f,0.3f,0.0f,0.9997784f,0.0f,-0.021052048f
"Car 51", "vehicles/car_red/car",-55.548996f,12.2f,43.69961f,0.3f,0.0f,0.9997784f,0.0f,-0.021052048f
"Van 12", "vehicles/van_blue/van",-66.199f,12.2f,43.69961f,0.3f,0.0f,0.9997784f,0.0f,-0.021052048f
"Car 52", "vehicles/car_silver/car",-59.998928f,12.2f,39.499676f,0.3f,0.0f,0.033375807f,0.0f,0.9994429f
"Car 53", "vehicles/car_yellow/car",-53.19903f,12.2f,38.54969f,0.3f,0.0f,0.033375807f,0.0f,0.9994429f
"Car 54", "vehicles/car_silver/car",-16.84958f,12.2f,-24.899918f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 55", "vehicles/car_blue/car",-19.149546f,12.2f,-22.899948f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 56", "vehicles/car_red/car",-30.69937f,12.2f,-40.149685f,0.3f,0.0f,-0.6498111f,0.0f,0.7600958f
"Car 57", "vehicles/car_silver/car",-30.199377f,12.2f,-38.249714f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 58", "vehicles/car_yellow/car",-29.249392f,12.2f,-35.099762f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 59", "vehicles/car_blue/car",-28.549402f,12.2f,-32.899796f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 60", "vehicles/car_silver/car",-28.349405f,12.2f,-31.199821f,0.3f,0.0f,-0.6299521f,0.0f,0.776634f
"Car 61", "vehicles/car_red/car",-26.549433f,12.2f,-25.099915f,0.3f,0.0f,-0.6427529f,0.0f,0.7660736f
"Car 62", "vehicles/car_silver/car",-14.299587f,12.2f,-42.199654f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 63", "vehicles/car_blue/car",-13.299583f,12.2f,-37.999718f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 64", "vehicles/car_yellow/car",-12.34958f,12.2f,-33.599785f,0.3f,0.0f,-0.6425602f,0.0f,0.766235f
"Car 65", "vehicles/car_red/car",-11.499577f,12.2f,-30.549831f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 66", "vehicles/car_silver/car",-11.899578f,12.2f,-32.249805f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 67", "vehicles/car_blue/car",-9.6495695f,12.2f,-23.199944f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 68", "vehicles/car_silver/car",-21.149515f,12.2f,-42.39965f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 69", "vehicles/car_yellow/car",-23.949472f,12.2f,-41.84966f,0.3f,0.0f,-0.6427529f,0.0f,0.7660736f
"Car 70", "vehicles/car_red/car",-23.549479f,12.2f,-40.249683f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 71", "vehicles/car_blue/car",-20.84952f,12.2f,-41.04967f,0.3f,0.0f,-0.6239391f,0.0f,0.78147304f
"Car 72", "vehicles/car_silver/car",-22.999487f,12.2f,-38.649708f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 73", "vehicles/car_silver/car",-22.0995f,12.2f,-34.199776f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 74", "vehicles/car_red/car",-19.049547f,12.2f,-33.19979f,0.3f,0.0f,-0.68375653f,0.0f,0.7297102f
"Car 75", "vehicles/car_blue/car",-18.599554f,12.2f,-30.849827f,0.3f,0.0f,-0.6391657f,0.0f,0.76906914f
"Car 76", "vehicles/car_yellow/car",-17.799566f,12.2f,-28.949856f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 77", "vehicles/car_red/car",-21.649508f,12.2f,-31.099823f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 78", "vehicles/car_silver/car",9.000465f,12.2f,-57.849415f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 79", "vehicles/car_silver/car",7.050458f,12.2f,-51.49951f,0.3f,0.0f,0.9948778f,0.0f,-0.10108441f
"Car 80", "vehicles/car_blue/car",7.100458f,12.2f,-57.249424f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 81", "vehicles/car_red/car",1.0004492f,12.2f,-55.999443f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 82", "vehicles/car_yellow/car",1.5504487f,12.2f,-50.19953f,0.3f,0.0f,0.11171105f,0.0f,0.99374074f
"Car 83", "vehicles/car_silver/car",4.450448f,12.2f,-56.74943f,0.3f,0.0f,0.9995333f,0.0f,-0.030547919f
"Car 84", "vehicles/car_blue/car",-0.349551f,12.2f,-49.799538f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 85", "vehicles/car_red/car",-4.7495513f,12.2f,-54.79946f,0.3f,0.0f,0.9933848f,0.0f,-0.11483362f
"Car 86", "vehicles/car_silver/car",-7.6495624f,12.2f,-47.949566f,0.3f,0.0f,0.99277574f,0.0f,-0.11998499f
"Car 87", "vehicles/car_yellow/car",-14.599588f,12.2f,-43.999626f,0.3f,0.0f,0.7700068f,0.0f,0.6380357f
"Car 88", "vehicles/car_red/car",37.450165f,12.2f,8.550006f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 89", "vehicles/car_blue/car",34.200214f,12.2f,9.350009f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 90", "vehicles/car_silver/car",31.550255f,12.2f,9.900011f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Van 13", "vehicles/van_blue/van",27.25032f,12.2f,10.300013f,0.3f,0.0f,0.088500366f,0.0f,0.99607617f
"Car 91", "vehicles/car_silver/car",24.65036f,12.2f,-3.2000067f,0.3f,0.0f,0.9953092f,0.0f,-0.09674505f
"Van 14", "vehicles/van_red/van",27.25032f,12.2f,-3.6500063f,0.3f,0.0f,0.9953092f,0.0f,-0.09674505f
"Car 92", "vehicles/car_blue/car",33.15023f,12.2f,-5.250011f,0.3f,0.0f,0.9953092f,0.0f,-0.09674505f
"Car 93", "vehicles/car_red/car",35.600193f,12.2f,-5.500012f,0.3f,0.0f,0.9953092f,0.0f,-0.09674505f
"Car 94", "vehicles/car_yellow/car",54.6999f,12.2f,-20.599981f,0.3f,0.0f,0.089309126f,0.0f,0.996004f
"Car 95", "vehicles/car_silver/car",57.699856f,12.2f,-21.049974f,0.3f,0.0f,0.089309126f,0.0f,0.996004f
"Car 96", "vehicles/car_red/car",64.59979f,12.2f,-22.249956f,0.3f,0.0f,0.089309126f,0.0f,0.996004f
"Car 97", "vehicles/car_blue/car",66.54991f,12.2f,-22.64995f,0.3f,0.0f,0.089309126f,0.0f,0.996004f
"Van 15", "vehicles/van_blue/van",63.849762f,12.2f,-30.249834f,0.3f,0.0f,0.99545777f,0.0f,-0.09520385f
"Car 98", "vehicles/car_silver/car",61.849792f,12.2f,-29.79984f,0.3f,0.0f,0.99545777f,0.0f,-0.09520385f
"Car 99", "vehicles/car_yellow/car",58.84984f,12.2f,-28.59986f,0.3f,0.0f,0.99545777f,0.0f,-0.09520385f
"Car 100", "vehicles/car_red/car",56.74987f,12.2f,-33.599785f,0.3f,0.0f,0.08787441f,0.0f,0.99613154f
"Van 16", "vehicles/van_yellow/van",59.149834f,12.2f,-34.349773f,0.3f,0.0f,0.08787441f,0.0f,0.99613154f
"Car 101", "vehicles/car_blue/car",62.249786f,12.2f,-34.949764f,0.3f,0.0f,0.08787441f,0.0f,0.99613154f
"Car 102", "vehicles/car_silver/car",61.849792f,12.2f,-43.249638f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Van 17", "vehicles/van_blue/van",58.549843f,12.2f,-42.749645f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Car 103", "vehicles/car_red/car",55.199894f,12.2f,-42.149654f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Van 18", "vehicles/van_red/van",53.799915f,12.2f,-42.149654f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Car 104", "vehicles/car_silver/car",50.699963f,12.2f,-41.69966f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Car 105", "vehicles/car_yellow/car",31.050262f,12.2f,-28.349863f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Car 106", "vehicles/car_red/car",30.000278f,12.2f,-31.699812f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Van 19", "vehicles/van_silver/van",29.350288f,12.2f,-34.299774f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Car 107", "vehicles/car_blue/car",28.900295f,12.2f,-36.699738f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Car 108", "vehicles/car_silver/car",27.90031f,12.2f,-41.399666f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Van 20", "vehicles/van_yellow/van",27.400318f,12.2f,-44.44962f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Van 21", "vehicles/van_blue/van",31.700253f,12.2f,-50.099533f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 109", "vehicles/car_red/car",32.700237f,12.2f,-47.299576f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 110", "vehicles/car_yellow/car",33.30023f,12.2f,-44.149624f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Van 22", "vehicles/van_red/van",34.750206f,12.2f,-36.899734f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 111", "vehicles/car_blue/car",35.500195f,12.2f,-33.099792f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Van 23", "vehicles/van_silver/van",36.200184f,12.2f,-29.899841f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
